water: 	 27.9720:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=15, tm_min=55, tm_sec=10, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9720:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=15, tm_min=55, tm_sec=36, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9720:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=15, tm_min=56, tm_sec=1, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9726:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=26, tm_sec=57, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9726:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=27, tm_sec=22, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9726:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=27, tm_sec=48, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9732:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=20, tm_min=58, tm_sec=50, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9732:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=20, tm_min=59, tm_sec=16, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9732:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=20, tm_min=59, tm_sec=42, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9735:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=30, tm_sec=40, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9736:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=31, tm_sec=6, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9736:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=31, tm_sec=31, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 27.9738:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=2, tm_sec=33, tm_wday=4, tm_yday=110, tm_isdst=1) 
