water: 	 29.2299:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=2, tm_sec=37, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2299:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=3, tm_sec=3, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2299:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=16, tm_min=3, tm_sec=28, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2304:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=34, tm_sec=24, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2304:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=34, tm_sec=50, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2304:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=18, tm_min=35, tm_sec=16, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2310:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=6, tm_sec=18, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2310:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=6, tm_sec=44, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2310:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=21, tm_min=7, tm_sec=10, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2315:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=38, tm_sec=7, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2315:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=38, tm_sec=33, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2315:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=18, tm_hour=23, tm_min=38, tm_sec=59, tm_wday=3, tm_yday=109, tm_isdst=1) 
water: 	 29.2318:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=10, tm_sec=0, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 29.2318:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=10, tm_sec=26, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 29.2318:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=2, tm_min=10, tm_sec=52, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 29.2319:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=41, tm_sec=53, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 29.2320:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=42, tm_sec=19, tm_wday=4, tm_yday=110, tm_isdst=1) 
water: 	 29.2319:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=19, tm_hour=4, tm_min=42, tm_sec=45, tm_wday=4, tm_yday=110, tm_isdst=1) 
